COD_STAZ,ID_PARAM,DATA_FINE,VALORE,VALIDAZIONE
8000002,20,01/01/2025 01:00,3.8,M
8000002,20,01/01/2025 02:00,5.2,M
8000002,20,01/01/2025 03:00,4.6,M
8000002,20,01/01/2025 04:00,4.3,M
8000002,20,01/01/2025 05:00,3.4,M
8000002,20,01/01/2025 07:00,2.7,M
8000002,20,01/01/2025 08:00,3.1,M
8000002,20,01/01/2025 09:00,3.2,M
8000002,20,01/01/2025 10:00,2.5,M
8000002,20,01/01/2025 11:00,2,M
8000002,20,01/01/2025 12:00,2.3,M
8000002,20,01/01/2025 13:00,2.6,M
8000002,20,01/01/2025 14:00,3.1,M
8000002,20,01/01/2025 15:00,3.8,M
8000002,20,01/01/2025 16:00,4.6,M
8000002,20,01/01/2025 17:00,4.2,M
8000002,20,01/01/2025 18:00,3.4,M
8000002,20,01/01/2025 19:00,2.7,M
8000002,20,01/01/2025 20:00,2.8,M
8000002,20,01/01/2025 21:00,2.6,M
8000002,20,01/01/2025 22:00,2.5,M
8000002,20,01/01/2025 23:00,2.2,M
8000002,20,02/01/2025 00:00,2,M
8000002,20,02/01/2025 01:00,2.1,M
8000002,20,02/01/2025 02:00,2,M
8000002,20,02/01/2025 03:00,2.1,M
8000002,20,02/01/2025 04:00,2.2,M
8000002,20,02/01/2025 06:00,2.4,M
8000002,20,02/01/2025 07:00,2.7,M
8000002,20,02/01/2025 08:00,2.6,M
8000002,20,02/01/2025 09:00,2.2,M
8000002,20,02/01/2025 10:00,2.3,M
8000002,20,02/01/2025 11:00,2.2,M
8000002,20,02/01/2025 12:00,2.2,M
8000002,20,02/01/2025 13:00,2.1,M
8000002,20,02/01/2025 14:00,1.9,M
8000002,20,02/01/2025 15:00,1.9,M
8000002,20,02/01/2025 16:00,2.1,M
8000002,20,02/01/2025 17:00,1.9,M
8000002,20,02/01/2025 18:00,2.1,M
8000002,20,02/01/2025 19:00,1.8,M
8000002,20,02/01/2025 20:00,1.8,M
8000002,20,02/01/2025 21:00,1.9,M
8000002,20,02/01/2025 22:00,1.9,M
8000002,20,02/01/2025 23:00,2.5,M
8000002,20,03/01/2025 00:00,2.4,M
8000002,20,03/01/2025 01:00,2.8,M
8000002,20,03/01/2025 02:00,3,M
8000002,20,03/01/2025 03:00,2.9,M
8000002,20,03/01/2025 05:00,2.7,M
8000002,20,03/01/2025 06:00,2.7,M
8000002,20,03/01/2025 07:00,2.3,M
8000002,20,03/01/2025 08:00,2.3,M
8000002,20,03/01/2025 09:00,3,M
8000002,20,03/01/2025 10:00,2.9,M
8000002,20,03/01/2025 11:00,3.3,M
8000002,20,03/01/2025 12:00,3.5,M
8000002,20,03/01/2025 13:00,3.3,M
8000002,20,03/01/2025 14:00,3.1,M
8000002,20,03/01/2025 15:00,2.8,M
8000002,20,03/01/2025 16:00,2.6,M
8000002,20,03/01/2025 17:00,2.7,M
8000002,20,03/01/2025 18:00,3.1,M
8000002,20,03/01/2025 19:00,4.4,M
8000002,20,03/01/2025 20:00,4.5,M
8000002,20,03/01/2025 21:00,4.2,M
8000002,20,03/01/2025 22:00,3.5,M
8000002,20,03/01/2025 23:00,3.5,M
8000002,20,04/01/2025 00:00,3.2,M
8000002,20,04/01/2025 01:00,2.3,M
8000002,20,04/01/2025 03:00,1.8,M
8000002,20,04/01/2025 04:00,1.8,M
8000002,20,04/01/2025 05:00,1.8,M
8000002,20,04/01/2025 06:00,1.7,M
8000002,20,04/01/2025 07:00,1.8,M
8000002,20,04/01/2025 08:00,1.7,M
8000002,20,04/01/2025 09:00,1.9,M
8000002,20,04/01/2025 10:00,1.5,M
8000002,20,04/01/2025 11:00,1.4,M
8000002,20,04/01/2025 12:00,1.2,M
8000002,20,04/01/2025 13:00,1.1,M
8000002,20,04/01/2025 14:00,1,M
8000002,20,04/01/2025 15:00,1,M
8000002,20,04/01/2025 16:00,.9,M
8000002,20,04/01/2025 17:00,1.1,M
8000002,20,04/01/2025 18:00,1.5,M
8000002,20,04/01/2025 19:00,1.6,M
8000002,20,04/01/2025 20:00,1.8,M
8000002,20,04/01/2025 21:00,1.8,M
8000002,20,04/01/2025 22:00,1.8,M
8000002,20,04/01/2025 23:00,1.8,M
8000002,20,05/01/2025 00:00,2,M
8000002,20,05/01/2025 01:00,1.9,M
8000002,20,05/01/2025 02:00,1.8,M
8000002,20,05/01/2025 03:00,1.7,M
8000002,20,05/01/2025 04:00,2,M
8000002,20,05/01/2025 05:00,1.9,M
8000002,20,05/01/2025 07:00,2.1,M
8000002,20,05/01/2025 08:00,2.1,M
8000002,20,05/01/2025 09:00,2.5,M
8000002,20,05/01/2025 10:00,2.8,M
8000002,20,05/01/2025 11:00,2.7,M
8000002,20,05/01/2025 12:00,2.8,M
8000002,20,05/01/2025 13:00,2.1,M
8000002,20,05/01/2025 14:00,1.7,M
8000002,20,05/01/2025 15:00,1.8,M
8000002,20,05/01/2025 16:00,1.9,M
8000002,20,05/01/2025 17:00,1.9,M
8000002,20,05/01/2025 18:00,2.2,M
8000002,20,05/01/2025 19:00,2.2,M
8000002,20,05/01/2025 20:00,2.6,M
8000002,20,05/01/2025 21:00,2.7,M
8000002,20,05/01/2025 22:00,2.6,M
8000002,20,05/01/2025 23:00,2.2,M
8000002,20,06/01/2025 00:00,2.4,M
8000002,20,06/01/2025 01:00,1.8,M
8000002,20,06/01/2025 02:00,1.5,M
8000002,20,06/01/2025 03:00,1.9,M
8000002,20,06/01/2025 04:00,2.2,M
8000002,20,06/01/2025 06:00,1.8,M
8000002,20,06/01/2025 07:00,1.8,M
8000002,20,06/01/2025 08:00,1.8,M
8000002,20,06/01/2025 09:00,2,M
8000002,20,06/01/2025 10:00,2.3,M
8000002,20,06/01/2025 11:00,2.3,M
8000002,20,06/01/2025 12:00,1.8,M
8000002,20,06/01/2025 13:00,1.9,M
8000002,20,06/01/2025 14:00,2,M
8000002,20,06/01/2025 15:00,1.8,M
8000002,20,06/01/2025 16:00,1.9,M
8000002,20,06/01/2025 17:00,2.3,M
8000002,20,06/01/2025 18:00,2.2,M
8000002,20,06/01/2025 19:00,2.1,M
8000002,20,06/01/2025 20:00,2.2,M
8000002,20,06/01/2025 21:00,2.2,M
8000002,20,06/01/2025 22:00,2.5,M
8000002,20,06/01/2025 23:00,3,M
8000002,20,07/01/2025 00:00,3.4,M
8000002,20,07/01/2025 01:00,3.2,M
8000002,20,07/01/2025 02:00,3,M
8000002,20,07/01/2025 03:00,2.8,M
8000002,20,07/01/2025 05:00,1.9,M
8000002,20,07/01/2025 06:00,1.9,M
8000002,20,07/01/2025 07:00,1.7,M
8000002,20,07/01/2025 08:00,2.4,M
8000002,20,07/01/2025 09:00,2.1,M
8000002,20,07/01/2025 10:00,1.8,M
8000002,20,07/01/2025 11:00,2,M
8000002,20,07/01/2025 12:00,1.7,M
8000002,20,07/01/2025 13:00,2.1,M
8000002,20,07/01/2025 14:00,2,M
8000002,20,07/01/2025 15:00,1.8,M
8000002,20,07/01/2025 16:00,1.7,M
8000002,20,07/01/2025 17:00,2,M
8000002,20,07/01/2025 18:00,2.3,M
8000002,20,07/01/2025 19:00,2.3,M
8000002,20,07/01/2025 20:00,2.5,M
8000002,20,07/01/2025 21:00,2.1,M
8000002,20,07/01/2025 22:00,1.7,M
8000002,20,07/01/2025 23:00,1.5,M
8000002,20,08/01/2025 00:00,1.3,M
8000002,20,08/01/2025 01:00,1.7,M
8000002,20,08/01/2025 02:00,1.3,M
8000002,20,08/01/2025 04:00,1.2,M
8000002,20,08/01/2025 05:00,1,M
8000002,20,08/01/2025 06:00,1,M
8000002,20,08/01/2025 07:00,1.2,M
